world_bank,who,owid,onu,iso_country
,,,Mayotte,MYT
Mexico,Mexico,Mexico,Mexico,MEX
"Micronesia, Fed. Sts.",Micronesia (Federated States of),"Micronesia, Fed. Sts.",Micronesia (Federated States of),FSM
Middle East & North Africa,,Middle East & North Africa,,
Middle East & North Africa (excluding high income),,Middle East & North Africa (excluding high income),,
Middle East & North Africa (IDA & IBRD countries),,Middle East & North Africa (IDA & IBRD countries),,
Middle income,,Middle income,,
Moldova,Republic of Moldova,Moldova,Republic of Moldova,MDA
Monaco,,Monaco,Monaco,MCO
Mongolia,Mongolia,Mongolia,Mongolia,MNG
Montenegro,Montenegro,Montenegro,Montenegro,MNE
,,,Montserrat,MSR
Morocco,Morocco,Morocco,Morocco,MAR
Mozambique,Mozambique,Mozambique,Mozambique,MOZ
Myanmar,Myanmar,Myanmar,Myanmar,MMR
Namibia,Namibia,Namibia,Namibia,NAM
Nauru,Nauru,Nauru,Nauru,NRU
Nepal,Nepal,Nepal,Nepal,NPL
Netherlands,Netherlands,Netherlands,Netherlands,NLD
New Caledonia,,New Caledonia,New Caledonia,NCL
New Zealand,New Zealand,New Zealand,New Zealand,NZL
Nicaragua,Nicaragua,Nicaragua,Nicaragua,NIC
Niger,Niger,Niger,Niger,NER
Nigeria,Nigeria,Nigeria,Nigeria,NGA
,Niue,,Niue,NIU
,,,Norfolk Island,NFK
North America,,North America,,
North Macedonia,,North Macedonia,North Macedonia,MKD
Northern Mariana Islands,,Northern Mariana Islands,Northern Mariana Islands,MNP
Norway,Norway,Norway,Norway,NOR
Not classified,,Not classified,,
OECD members,,OECD members,,
Oman,Oman,Oman,Oman,OMN
Other small states,,Other small states,,
Pacific island small states,,Pacific island small states,,
Pakistan,Pakistan,Pakistan,Pakistan,PAK
Palau,,Palau,Palau,PLW
West Bank and Gaza,,West Bank and Gaza,,
Panama,Panama,Panama,Panama,PAN
Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,PNG
Paraguay,Paraguay,Paraguay,Paraguay,PRY
Peru,Peru,Peru,Peru,PER
Philippines,Philippines,Philippines,Philippines,PHL
,,,Pitcairn,PCN
Poland,Poland,Poland,Poland,POL
Portugal,Portugal,Portugal,Portugal,PRT
Post-demographic dividend,,Post-demographic dividend,,
Pre-demographic dividend,,Pre-demographic dividend,,
Puerto Rico,,Puerto Rico,Puerto Rico,PRI
Qatar,Qatar,Qatar,Qatar,QAT
,,,Runion,REU
Romania,Romania,Romania,Romania,ROU
Russian Federation,Russian Federation,Russian Federation,Russian Federation,RUS
Rwanda,Rwanda,Rwanda,Rwanda,RWA
Samoa,Samoa,Samoa,Samoa,WSM
,,,Saint Barthlemy,BLM
,,,Saint Helena,SHN
St. Kitts and Nevis,Saint Kitts and Nevis,St. Kitts and Nevis,Saint Kitts and Nevis,KNA
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,STP
,Saint Lucia,,Saint Lucia,LCA
San Marino,,San Marino,San Marino,SMR
St. Martin (French part),,St. Martin (French part),Saint Martin (French Part),MAF
,,,Saint Pierre and Miquelon,SPM
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT
,,,Sark,
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,SAU
Senegal,Senegal,Senegal,Senegal,SEN
Serbia,Serbia,Serbia,Serbia,SRB
Seychelles,Seychelles,Seychelles,Seychelles,SYC
Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,SLE
Singapore,Singapore,Singapore,Singapore,SGP
Sint Maarten (Dutch part),,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM
Slovak Republic,Slovakia,Slovak Republic,Slovakia,SVK
Slovenia,Slovenia,Slovenia,Slovenia,SVN
Small states,,Small states,,
Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,SLB
Somalia,Somalia,Somalia,Somalia,SOM
South Africa,South Africa,South Africa,South Africa,ZAF
South Asia,,South Asia,,
South Asia (IDA & IBRD),,South Asia (IDA & IBRD),,
,,,South Georgia and the South Sandwich Islands,SGS
South Sudan,,South Sudan,South Sudan,SSD
Spain,Spain,Spain,Spain,ESP
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,LKA
West Bank and Gaza,,,State of Palestine,PSE
Sub-Saharan Africa,,Sub-Saharan Africa,,
Sub-Saharan Africa (excluding high income),,Sub-Saharan Africa (excluding high income),,
Sub-Saharan Africa (IDA & IBRD countries),,Sub-Saharan Africa (IDA & IBRD countries),,
Sudan,Sudan,Sudan,Sudan,SDN
Suriname,Suriname,Suriname,Suriname,SUR
,,,Svalbard and Jan Mayen Islands,SJM
Sweden,Sweden,Sweden,Sweden,SWE
Switzerland,Switzerland,Switzerland,Switzerland,CHE
Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SYR
,,,,
Tajikistan,Tajikistan,Tajikistan,Tajikistan,TJK
Tanzania,United Republic of Tanzania,Tanzania,United Republic of Tanzania,TZA
Thailand,Thailand,Thailand,Thailand,THA
,The former Yugoslav Republic of Macedonia,,,
Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,TLS
Togo,Togo,Togo,Togo,TGO
,,,Tokelau,TKL
Tonga,Tonga,Tonga,Tonga,TON
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,TTO
Tunisia,Tunisia,Tunisia,Tunisia,TUN
Turkey,Turkey,Turkey,Turkey,TUR
Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,TKM
Turks and Caicos Islands,,Turks and Caicos Islands,Turks and Caicos Islands,TCA
Tuvalu,Tuvalu,Tuvalu,Tuvalu,TUV
Uganda,Uganda,Uganda,Uganda,UGA
Ukraine,Ukraine,Ukraine,Ukraine,UKR
United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,ARE
United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBR
,,,United States Minor Outlying Islands,UMI
United States,United States of America,United States,United States of America,USA
Virgin Islands (U.S.),,Virgin Islands (U.S.),United States Virgin Islands,VIR
Upper middle income,,Upper middle income,,URY
Uruguay,Uruguay,Uruguay,Uruguay,UZB
Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,VUT
Vanuatu,Vanuatu,Vanuatu,Vanuatu,VAT
"Venezuela, RB",Venezuela (Bolivarian Republic of),"Venezuela, RB",Venezuela (Bolivarian Republic of),VEN
Vietnam,Viet Nam,Vietnam,Viet Nam,VNM
,,,Wallis and Futuna Islands,WLF
World,,World,,
,,,Western Sahara,ESH
"Yemen, Rep.",Yemen,"Yemen, Rep.",Yemen,YEM
Zambia,Zambia,Zambia,Zambia,ZMB
Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,ZWE
